bn-65-1K.edges,1139,5,.010837464,0.6459,0.0169,0.1091,1421.2
bn-65-1K.edges,1139,10,.011058820,0,0,0,565
bn-65-1K.edges,1139,12,.002296794,0,0,0,561.8
bn-65-1K.edges,1139,20,.002793514,0,0,0,557.9
bn-65-1K.edges,1139,30,.003612911,0,0,0,598
bn-65-1K.edges,1139,40,.003946966,0,0,0,703.6
bn-65-1K.edges,1139,50,.004046741,0.0001,0,0,745.2
bn-65-1K.edges,1139,60,.004729704,0.0005,0.0008,0,831.6
bn-65-1K.edges,1139,70,.005046297,0.001,0.0011,0,894
bn-65-1K.edges,1139,80,.005051818,0.001,0.001,0,914.8
bn-65-1K.edges,1139,90,.006183897,0.001,0.001,0,1042.8
bn-65-1K.edges,1139,100,.006354031,0.001,0.001,0,1118
bn-100k-662k.edges,662431,5,.025825439,0.1006,0.008,0.0553,384.9
bn-100k-662k.edges,662431,10,.016184014,0.0713,0.006,0.0552,756.2
bn-100k-662k.edges,662431,12,.009574973,0.0694,0.006,0.0551,907.4
bn-100k-662k.edges,662431,20,.015807328,0.0869,0.0073,0.0554,1490.8
bn-100k-662k.edges,662431,30,.017795414,0.0874,0.0057,0.0552,2198
bn-100k-662k.edges,662431,40,.015281737,0.0884,0.0053,0.0555,2930.8
bn-100k-662k.edges,662431,50,.017601707,0.0903,0.0058,0.0558,3657.2
bn-100k-662k.edges,662431,60,.019368743,0.0905,0.0062,0.0555,4351.6
bn-100k-662k.edges,662431,70,.016629010,0.0915,0.006,0.056,4994.8
bn-100k-662k.edges,662431,80,.018619566,0.086,0.0062,0.0561,4554
bn-100k-662k.edges,662431,90,.018419630,0.0826,0.0065,0.056,5409.2
bn-100k-662k.edges,662431,100,.017690649,0.0819,0.0063,0.0551,5514
bn-7k-50k.edges,49788,5,.002544587,0.0055,0,0.0031,395.9
bn-7k-50k.edges,49788,10,.002653499,0.0041,0,0.003,750.6
bn-7k-50k.edges,49788,12,.002656908,0.0048,0,0.0031,900.2
bn-7k-50k.edges,49788,20,.002796002,0.0048,0.0001,0.003,1065.2
bn-7k-50k.edges,49788,30,.003821135,0.0054,0.0002,0.003,1528.4
bn-7k-50k.edges,49788,40,.003971042,0.0051,0.0005,0.0032,1798
bn-7k-50k.edges,49788,50,.005005109,0.0049,0.001,0.003,2095.6
bn-7k-50k.edges,49788,60,.005143452,0.0045,0.0011,0.003,1857.2
bn-7k-50k.edges,49788,70,.005313318,0.0052,0.0011,0.003,2547.6
bn-7k-50k.edges,49788,80,.006064278,0.0054,0.0015,0.003,2754
bn-7k-50k.edges,49788,90,.007065193,0.0053,0.002,0.003,3036.4
bn-7k-50k.edges,49788,100,.007242283,0.0052,0.002,0.003,2690
bn-800-19k.edges,19176,5,.002199303,0.001,0,0,403.4
bn-800-19k.edges,19176,10,.002529209,0.001,0,0,763.4
bn-800-19k.edges,19176,12,.002724083,0.0012,0,0,878.6
bn-800-19k.edges,19176,20,.002410390,0.001,0,0,1058.8
bn-800-19k.edges,19176,30,.003247315,0.001,0,0,1230.8
bn-800-19k.edges,19176,40,.003513739,0.001,0,0,1174
bn-800-19k.edges,19176,50,.004116177,0.0011,0,0,1187.6
bn-800-19k.edges,19176,60,.004312408,0.0013,0.0009,0,1193.2
bn-800-19k.edges,19176,70,.005346927,0.001,0.001,0,1225.2
bn-800-19k.edges,19176,80,.005502585,0.0011,0.0011,0,1279.6
bn-800-19k.edges,19176,90,.006354643,0.0011,0.001,0,1346.8
bn-800-19k.edges,19176,100,.006766803,0.0017,0.001,0,1369.2
bn-1.8M-166M.edges,165672643,5,24.337441930,20.477,0.1432,0.4825,2186.5
bn-1.8M-166M.edges,165672643,10,24.586181377,14.8985,0.1304,0.478,2340.8
bn-1.8M-166M.edges,165672643,12,25.114120973,13.7692,0.1271,0.4708,2587.4
bn-1.8M-166M.edges,165672643,20,25.578610434,13.7448,0.1253,0.4689,2801.6
bn-1.8M-166M.edges,165672643,30,25.299944082,13.416,0.1292,0.4666,3842.8
bn-1.8M-166M.edges,165672643,40,25.446318997,13.2425,0.1266,0.471,2958.6
bn-1.8M-166M.edges,165672643,50,28.113280017,13.067,0.1276,0.4723,3651.1
bn-1.8M-166M.edges,165672643,60,19.057271808,12.9542,0.1274,0.4715,4370.8
bn-1.8M-166M.edges,165672643,70,18.638895488,12.8742,0.1272,0.4748,5097.2
bn-1.8M-166M.edges,165672643,80,20.333421794,12.803,0.126,0.4671,5823.6
bn-1.8M-166M.edges,165672643,90,19.836642359,12.6659,0.1256,0.4703,6530.8
bn-1.8M-166M.edges,165672643,100,19.998543742,12.4735,0.1268,0.4651,6910.2
bn-34k-181k.edges,180811,5,.009815897,0.0287,0.004,0.018,416.2
bn-34k-181k.edges,180811,10,.003839742,0.0192,0.002,0.0182,750.6
bn-34k-181k.edges,180811,12,.003981469,0.018,0.0021,0.0184,920.2
bn-34k-181k.edges,180811,20,.004266786,0.0231,0.0025,0.018,1484.4
bn-34k-181k.edges,180811,30,.006529710,0.0244,0.0024,0.018,2230
bn-34k-181k.edges,180811,40,.006377170,0.025,0.0022,0.0187,2879.6
bn-34k-181k.edges,180811,50,.007390410,0.0237,0.0021,0.018,3226.8
bn-34k-181k.edges,180811,60,.007440176,0.0229,0.0023,0.018,3474.8
bn-34k-181k.edges,180811,70,.008189278,0.0216,0.0024,0.0184,3494.8
bn-34k-181k.edges,180811,80,.008453044,0.0212,0.0027,0.0186,3698.8
bn-34k-181k.edges,180811,90,.009868097,0.0216,0.003,0.0182,4200.4
bn-34k-181k.edges,180811,100,.009781516,0.0218,0.0033,0.0181,4505.2
bn-434k-16M.edges,16036720,5,1.586706068,1.9478,0.0703,0.2686,495
bn-434k-16M.edges,16036720,10,1.636090936,1.4687,0.0471,0.2673,745.6
bn-434k-16M.edges,16036720,12,1.655134062,1.3475,0.05,0.2688,920.3
bn-434k-16M.edges,16036720,20,1.566941122,1.3735,0.0433,0.2684,1491.3
bn-434k-16M.edges,16036720,30,1.794957742,1.328,0.0395,0.2691,2217.6
bn-434k-16M.edges,16036720,40,1.689567295,1.2995,0.0415,0.2683,2950.4
bn-434k-16M.edges,16036720,50,1.647805857,1.2912,0.0454,0.2681,3638
bn-434k-16M.edges,16036720,60,1.709402391,1.276,0.0425,0.2693,4377.2
bn-434k-16M.edges,16036720,70,1.885730270,1.2716,0.043,0.27,5090.8
bn-434k-16M.edges,16036720,80,1.661081760,1.2684,0.0414,0.2704,5810.8
bn-434k-16M.edges,16036720,90,1.595746317,1.2694,0.0394,0.2705,6524.4
bn-434k-16M.edges,16036720,100,1.269171301,1.2565,0.039,0.2704,6916.3
bn-449k-3.3M.edges,3314611,5,.356266618,0.4962,0.0424,0.2583,402.5
bn-449k-3.3M.edges,3314611,10,.353242937,0.3897,0.0336,0.2573,752.1
bn-449k-3.3M.edges,3314611,12,.188858395,0.342,0.0325,0.2565,926.8
bn-449k-3.3M.edges,3314611,20,.316280606,0.4255,0.0311,0.2581,1485.4
bn-449k-3.3M.edges,3314611,30,.087637323,0.4136,0.0313,0.2572,2198
bn-449k-3.3M.edges,3314611,40,.086543410,0.4112,0.0277,0.257,2937.2
bn-449k-3.3M.edges,3314611,50,.117157132,0.4029,0.0331,0.2585,3670
bn-449k-3.3M.edges,3314611,60,.088901489,0.4018,0.0336,0.2568,4358
bn-449k-3.3M.edges,3314611,70,.089485338,0.3998,0.0343,0.2562,5090.8
bn-449k-3.3M.edges,3314611,80,.098316968,0.4087,0.0305,0.2579,5823.6
bn-449k-3.3M.edges,3314611,90,.088939062,0.4059,0.0283,0.257,6524.4
bn-449k-3.3M.edges,3314611,100,.121879552,0.4174,0.0274,0.258,6906.5
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,5,22.335629164,16.7255,0.155,0.4698,2082.6
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,10,22.101024473,13.4472,0.1374,0.4597,2309.8
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,12,22.092974417,12.6082,0.1309,0.4684,1985.8
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,20,23.592721948,12.5323,0.1253,0.4465,2728.7
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,30,22.537009750,12.2286,0.1243,0.4444,3497.2
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,40,23.027071539,12.0242,0.1239,0.443,2924.4
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,50,22.707847940,11.8877,0.1256,0.4435,3667.8
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,60,22.854536180,11.8368,0.1236,0.4439,4358.1
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,70,23.448802583,11.7077,0.1237,0.4451,5078
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,80,24.088892023,11.6237,0.122,0.4451,5791.6
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,90,24.249011695,11.5094,0.1243,0.4474,6537.2
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,100,24.813933901,11.457,0.1241,0.4456,6921.4
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,5,25.668965981,16.9133,0.1528,0.4598,1904
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,10,25.488962399,13.5929,0.1313,0.4601,2259.4
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,12,26.058169713,12.506,0.1249,0.4553,1961.7
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,20,25.569437596,12.4787,0.1196,0.4402,2729
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,30,25.724288777,12.2087,0.1215,0.4356,3529.7
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,40,25.288417633,12.0836,0.1215,0.4352,2932
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,50,14.862307933,11.9778,0.1208,0.4375,3657.6
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,60,14.426620782,11.8414,0.1243,0.4366,4377.5
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,70,14.656014760,11.7559,0.1237,0.4369,5116.4
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,80,15.554096156,11.6417,0.1228,0.4372,5791.6
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,90,15.201388520,11.582,0.1233,0.4383,6550
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,100,14.869564416,11.4435,0.1218,0.4336,6915.8
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,5,16.741712350,18.5286,0.1498,0.4701,2294.8
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,10,36.623140440,15.1902,0.1409,0.4794,2401.6
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,12,16.473247956,14.0039,0.1347,0.4763,2652
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,20,16.344284788,14.0739,0.1327,0.459,2764
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,30,16.513788703,13.7898,0.1329,0.4575,3830
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,40,16.915481591,13.5775,0.1316,0.4578,2932.1
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,50,16.891585898,13.4433,0.1333,0.4582,3689.3
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,60,17.287161823,13.3089,0.1346,0.4579,4383.6
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,70,17.525349640,13.2222,0.1344,0.4589,5078
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,80,17.109179828,13.1229,0.1337,0.4595,5798
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,90,17.941071777,12.9971,0.1334,0.4621,6530.8
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,100,17.367974201,12.8109,0.1364,0.4554,6919.3
bn-human-BNU_1_0025876_session_2-bg_140M.edges,139871242,5,13.565693899,15.791,0.1598,0.5031,1777
bn-human-BNU_1_0025876_session_2-bg_140M.edges,139871242,10,13.840795954,12.7024,0.1342,0.5007,2247.8
bn-human-BNU_1_0025876_session_2-bg_140M.edges,139871242,12,13.523787175,11.7255,0.13,0.4995,1882.4
bn-human-BNU_1_0025876_session_2-bg_140M.edges,139871242,20,13.635570078,11.7179,0.1231,0.4834,2729
bn-human-BNU_1_0025876_session_2-bg_140M.edges,139871242,30,13.785044333,11.4251,0.125,0.476,3024.3
