"Algorithm Name"	Type	"Graph Name"	"Average Time"	"Average Memory"	"Start Time"	"End Time"
"VectorVectorContainer"	ParallelInplace#4	"socf-konect.edges"	6960.89	8.93165e+09	2022-May-31 20:20:45.513606	2022-May-31 20:21:09.205671
"VectorVectorContainer"	ParallelInplace#4	"socfb-UIllinois20.mtx"	182.242	1.24292e+07	2022-May-31 20:21:09.205813	2022-May-31 20:21:09.759831
"VectorVectorContainer"	ParallelInplace#4	"bn-human-BNU_1_0025913_session_2_180M.edges"	4875.47	1.25052e+09	2022-May-31 20:21:09.759936	2022-May-31 20:21:24.630740
"VectorVectorContainer"	ParallelInplace#4	"bn-human-BNU_1_0025916_session_1_110M.edges"	2984.4	8.31093e+08	2022-May-31 20:21:24.630841	2022-May-31 20:21:33.756213
"VectorVectorContainer"	ParallelInplace#4	"livejournal_160M.edges"	4903.29	1.46074e+09	2022-May-31 20:21:33.756301	2022-May-31 20:21:49.408928
"VectorVectorContainer"	ParallelInplace#4	"tech-ip.edges"	713.451	4.30036e+08	2022-May-31 20:21:49.409018	2022-May-31 20:21:51.777914
"VectorVectorContainer"	ParallelInplace#4	"bn-800-19k.edges"	2.00267	218232	2022-May-31 20:21:51.778004	2022-May-31 20:21:51.784089
"VectorVectorContainer"	ParallelInplace#4	"soc-wiki-Talk-dir.mtx"	247.263	2.45848e+08	2022-May-31 20:21:51.784178	2022-May-31 20:21:52.566786
"VectorVectorContainer"	ParallelInplace#4	"bn-human-Jung2015_M87101049_190M.edges"	5098.89	1.28889e+09	2022-May-31 20:21:52.566875	2022-May-31 20:22:08.102879
"VectorVectorContainer"	ParallelInplace#4	"soc-orkut_106M.edges"	8941.9	1.05118e+09	2022-May-31 20:22:08.102974	2022-May-31 20:22:37.702238
"VectorVectorContainer"	ParallelInplace#4	"socfb-uci-uni_90M.edges"	13899.1	1.13804e+10	2022-May-31 20:22:37.702333	2022-May-31 20:23:25.521764
"VectorVectorContainer"	ParallelInplace#4	"soc-sinaweibo_260M.edges"	55477.4	1.19274e+10	2022-May-31 20:23:25.524758	2022-May-31 20:26:29.683367
"VectorVectorContainer"	ParallelInplace#4	"bn-7k-50k.edges"	2219.44	1.16876e+06	2022-May-31 20:26:29.686733	2022-May-31 20:26:36.371305
"VectorVectorContainer"	ParallelInplace#4	"scc_fb-messages.mtx"	16.1493	3.3344e+06	2022-May-31 20:26:36.371394	2022-May-31 20:26:36.420162
"VectorVectorContainer"	ParallelInplace#4	"soc-orkut.edges"	3256.72	1.09022e+09	2022-May-31 20:26:36.420253	2022-May-31 20:26:46.963397
"VectorVectorContainer"	ParallelInplace#4	"bn-human-Jung2015_M87104509_50M.edges"	1378.21	4.88002e+08	2022-May-31 20:26:46.963511	2022-May-31 20:26:51.213776
"VectorVectorContainer"	ParallelInplace#4	"cit-patent1.edges"	1125.33	6.08168e+08	2022-May-31 20:26:51.213865	2022-May-31 20:26:54.751482
"VectorVectorContainer"	ParallelInplace#4	"bn-human-Jung2015_M87107781_70M.edges"	2483.54	5.60642e+08	2022-May-31 20:26:54.751582	2022-May-31 20:27:02.346626
"VectorVectorContainer"	ParallelInplace#4	"web-Stanford.mtx"	128.95	4.69962e+07	2022-May-31 20:27:02.346721	2022-May-31 20:27:02.762199
