bn-65-1K.edges,1139,0.0001,5
bn-100k-662k.edges,662431,0.3807,18
bn-7k-50k.edges,49788,0.023,6
bn-800-19k.edges,19176,0.0067,6
bn-1.8M-166M.edges,165672643,93.2637,984
bn-34k-181k.edges,180811,0.1002,9
bn-434k-16M.edges,16036720,8.6761,132
bn-449k-3.3M.edges,3314611,2.0329,60
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,80.6603,897
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,81.9581,904
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,91.3685,996
